mean	delta	phaseL	phaseR	time	x	dx	dy	power_L	power_R
 387.857	   1.429	   0.257	   0.000	   8.050	9999.000	9999.000	9999.000	9999.000	9999.000
 390.000	   1.429	   0.257	   0.000	   8.050	9999.000	9999.000	9999.000	9999.000	9999.000
 375.000	   2.143	   0.257	   0.000	   8.050	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   2.143	   0.257	   0.000	   8.050	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   2.143	   0.257	   0.000	   8.050	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   2.143	   0.257	   0.000	   8.050	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   2.143	   0.257	   0.000	   0.650	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   2.143	   0.257	   0.000	   0.650	9999.000	9999.000	9999.000	9999.000	9999.000
 387.857	   2.143	   0.257	   0.000	   0.650	9999.000	9999.000	9999.000	9999.000	9999.000
 390.000	   2.143	   0.257	   0.000	   0.650	9999.000	9999.000	9999.000	9999.000	9999.000
 375.000	   2.857	   0.257	   0.000	   0.650	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   2.857	   0.257	   0.000	   0.650	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   2.857	   0.257	   0.000	   0.650	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   2.857	   0.257	   0.000	   0.650	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   2.857	   0.257	   0.000	   0.610	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   2.857	   0.257	   0.000	   0.610	9999.000	9999.000	9999.000	9999.000	9999.000
 387.857	   2.857	   0.257	   0.000	  10.360	  11.314	   0.650	  -0.069	 -54.603	-186.690
 390.000	   2.857	   0.257	   0.000	  10.450	  13.367	   1.072	   0.004	 -53.620	 -14.883
 375.000	   3.571	   0.257	   0.000	  10.450	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   3.571	   0.257	   0.000	  10.450	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   3.571	   0.257	   0.000	  10.450	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   3.571	   0.257	   0.000	  10.450	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   3.571	   0.257	   0.000	   0.610	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   3.571	   0.257	   0.000	   5.200	   6.217	   1.062	  -0.089	 -42.885	 -94.572
 387.857	   3.571	   0.257	   0.000	   5.330	   7.167	   1.293	  -0.064	 -30.792	 -44.393
 390.000	   3.571	   0.257	   0.000	   5.290	   7.517	   1.408	  -0.089	 -11.434	  -9.129
 375.000	   4.286	   0.257	   0.000	   5.290	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   4.286	   0.257	   0.000	   5.290	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   4.286	   0.257	   0.000	   5.290	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   4.286	   0.257	   0.000	   0.600	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   4.286	   0.257	   0.000	   0.600	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   4.286	   0.257	   0.000	   5.080	   6.169	   1.098	  -0.123	 -39.930	 -67.988
 387.857	   4.286	   0.257	   0.000	   5.290	   7.164	   1.306	  -0.086	 -25.242	 -38.979
 390.000	   4.286	   0.257	   0.000	   5.230	   7.402	   1.397	  -0.112	 -10.806	  -8.775
 375.000	   5.000	   0.257	   0.000	   5.230	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   5.000	   0.257	   0.000	   5.230	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   5.000	   0.257	   0.000	   5.230	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   5.000	   0.257	   0.000	   0.600	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   5.000	   0.257	   0.000	   0.600	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   5.000	   0.257	   0.000	   0.600	9999.000	9999.000	9999.000	9999.000	9999.000
 387.857	   5.000	   0.257	   0.000	   5.240	   7.140	   1.318	  -0.105	 -19.548	 -32.425
 390.000	   5.000	   0.257	   0.000	   5.220	   7.396	   1.399	  -0.117	 -10.517	  -3.395
 375.000	   0.000	   0.386	   0.000	   5.220	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   0.000	   0.386	   0.000	   5.220	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   0.000	   0.386	   0.000	   5.220	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   0.000	   0.386	   0.000	   5.220	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   0.000	   0.386	   0.000	   5.220	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   0.000	   0.386	   0.000	   8.400	   7.213	   0.415	  -0.197	 -56.205	 -99.421
 387.857	   0.000	   0.386	   0.000	   7.810	   9.628	   1.082	  -0.100	 -31.991	 -74.571
 390.000	   0.000	   0.386	   0.000	   7.890	  10.964	   1.351	  -0.104	  -9.769	 -30.006
 375.000	   0.714	   0.386	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   0.714	   0.386	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   0.714	   0.386	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   0.714	   0.386	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   0.714	   0.386	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   0.714	   0.386	   0.000	  10.620	   8.145	   0.370	   0.004	 -46.127	 -75.395
 387.857	   0.714	   0.386	   0.000	  10.620	9999.000	9999.000	9999.000	9999.000	9999.000
 390.000	   0.714	   0.386	   0.000	   7.940	  11.047	   1.357	  -0.097	 -11.061	 -27.112
 375.000	   1.429	   0.386	   0.000	   7.940	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   1.429	   0.386	   0.000	   7.940	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   1.429	   0.386	   0.000	   7.940	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   1.429	   0.386	   0.000	   7.940	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   1.429	   0.386	   0.000	   7.940	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   1.429	   0.386	   0.000	   7.940	9999.000	9999.000	9999.000	9999.000	9999.000
 387.857	   1.429	   0.386	   0.000	   8.010	   9.943	   1.105	  -0.076	 -33.618	 -69.966
 390.000	   1.429	   0.386	   0.000	   7.950	  11.044	   1.350	  -0.101	 -11.440	 -27.669
